,File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
0,python/DCD.py,eaccb2e,2.0,2.0,2.0,1.0,7.0,0.0,6.0,0.0,3.0,30.0,29.0,252.0,16.0,198.0,38.0,160.0,40.0,1.0,0.0,194.0,38.0,156.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,5.0,2.0,0.20,66.0,66.0,66.0,50.0,1.0
1,python/DCD.py,2a8eb95,2.0,2.0,2.0,1.0,7.0,0.0,6.0,0.0,3.0,30.0,29.0,252.0,16.0,198.0,38.0,160.0,40.0,1.0,0.0,194.0,38.0,156.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,5.0,2.0,0.20,66.0,66.0,66.0,50.0,0.0
2,python/AtomGroup.py,2a8eb95,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,7.0,47.0,47.0,308.0,26.0,210.0,60.0,150.0,73.0,0.0,0.0,212.0,60.0,152.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,3.0,0.35,80.0,80.0,80.0,58.0,1.0
3,python/AtomGroup.py,50d16d9,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,7.0,47.0,47.0,307.0,26.0,209.0,60.0,149.0,73.0,0.0,0.0,210.0,60.0,150.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,3.0,0.35,79.0,79.0,79.0,56.0,0.0
4,python/AtomGroup.py,50d16d9,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,7.0,47.0,47.0,307.0,26.0,209.0,60.0,149.0,73.0,0.0,0.0,210.0,60.0,150.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,3.0,0.35,79.0,79.0,79.0,56.0,1.0
5,python/AtomGroup.py,86f4d4b,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,7.0,48.0,48.0,310.0,26.0,212.0,61.0,151.0,73.0,0.0,0.0,213.0,61.0,152.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,3.0,0.34,80.0,80.0,80.0,57.0,0.0
6,python/AtomGroup.py,17ad3fe,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,7.0,49.0,49.0,318.0,26.0,219.0,63.0,156.0,74.0,0.0,0.0,220.0,63.0,157.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,3.0,0.34,82.0,82.0,82.0,58.0,1.0
7,python/AtomGroup.py,fd540ca,1.0,1.0,1.0,1.0,4.0,0.0,4.0,0.0,7.0,49.0,49.0,318.0,26.0,219.0,63.0,156.0,74.0,0.0,0.0,220.0,63.0,157.0,0.0,0.0,0.0,0.0,6.0,6.0,6.0,4.0,3.0,0.34,82.0,82.0,82.0,58.0,0.0
8,python/Timeseries.py,c88e3fe,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,8.0,21.0,21.0,93.0,8.0,84.0,29.0,55.0,1.0,0.0,0.0,87.0,29.0,58.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,1.0,0.01,31.0,31.0,31.0,21.0,1.0
9,python/Timeseries.py,b3f6a4e,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,8.0,22.0,22.0,89.0,8.0,80.0,30.0,50.0,2.0,0.0,0.0,81.0,30.0,51.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,3.0,1.0,0.03,32.0,32.0,32.0,24.0,0.0
