,File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
0,package/MDAnalysis/core/AtomGroup.py,e74236a,1.0,1.0,1.0,1.0,15.0,2.0,5.0,7.0,7.0,129.0,128.0,2733.0,558.0,834.0,185.0,649.0,1370.0,1.0,0.0,740.0,162.0,578.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,4.0,3.0,1.64,257.0,257.0,257.0,167.0,1.0
1,testsuite/MDAnalysisTests/test_atomgroup.py,e74236a,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,12.0,125.0,124.0,817.0,133.0,605.0,157.0,448.0,103.0,2.0,0.0,534.0,151.0,383.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.17,129.0,129.0,129.0,125.0,1.0
2,package/MDAnalysis/core/AtomGroup.py,5e84d12,2.0,2.0,2.0,1.0,15.0,2.0,6.0,7.0,7.0,130.0,129.0,2769.0,568.0,844.0,186.0,658.0,1389.0,1.0,0.0,749.0,163.0,586.0,1.0,1.0,1.0,1.0,8.0,8.0,8.0,4.0,3.0,1.65,261.0,261.0,261.0,171.0,0.0
3,testsuite/MDAnalysisTests/test_atomgroup.py,5e84d12,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,12.0,127.0,126.0,837.0,136.0,619.0,159.0,460.0,109.0,2.0,0.0,543.0,153.0,390.0,2.0,2.0,2.0,1.0,2.0,2.0,2.0,1.0,1.0,0.18,131.0,131.0,131.0,127.0,0.0
4,package/MDAnalysis/coordinates/PDB.py,edd5c9c,2.0,2.0,2.0,1.0,19.0,2.0,10.0,7.0,7.0,45.0,44.0,1345.0,270.0,501.0,70.0,431.0,607.0,2.0,0.0,457.0,66.0,391.0,2.0,2.0,2.0,1.0,14.0,14.0,14.0,10.0,4.0,1.21,130.0,130.0,130.0,83.0,1.0
5,package/MDAnalysis/topology/core.py,edd5c9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,14.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
6,package/MDAnalysis/topology/core.py,edd5c9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,31.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
7,package/MDAnalysis/core/AtomGroup.py,edd5c9c,2.0,2.0,2.0,1.0,15.0,2.0,6.0,7.0,7.0,138.0,137.0,2888.0,579.0,928.0,200.0,728.0,1415.0,1.0,0.0,830.0,177.0,653.0,1.0,1.0,1.0,1.0,9.0,9.0,9.0,4.0,3.0,1.52,282.0,282.0,282.0,183.0,1.0
8,package/MDAnalysis/topology/ExtendedPDBParser.py,edd5c9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
9,package/MDAnalysis/topology/PrimitivePDBParser.py,edd5c9c,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,2.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
