,File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,keyword_buggy
0,package/doc/sphinx/source/conf.py,566f3ee,1.0,1.0,1.0,1.0,15.0,0.0,4.0,0.0,1.0,4.0,3.0,322.0,81.0,69.0,8.0,61.0,172.0,2.0,0.0,46.0,7.0,39.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.49,7.0,7.0,7.0,6.0,1.0
1,testsuite/MDAnalysisTests/test_selections.py,566f3ee,1.0,1.0,1.0,1.0,4.0,0.0,3.0,0.0,6.0,54.0,54.0,322.0,63.0,219.0,72.0,147.0,43.0,0.0,0.0,207.0,66.0,141.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.20,54.0,54.0,54.0,54.0,1.0
2,package/doc/sphinx/source/conf.py,3e02ee9,1.0,1.0,1.0,1.0,15.0,0.0,4.0,0.0,1.0,4.0,3.0,322.0,81.0,69.0,8.0,61.0,172.0,2.0,0.0,46.0,7.0,39.0,2.0,2.0,2.0,1.0,3.0,3.0,3.0,3.0,1.0,2.49,7.0,7.0,7.0,6.0,0.0
3,testsuite/MDAnalysisTests/test_selections.py,3e02ee9,1.0,1.0,1.0,1.0,3.0,0.0,3.0,0.0,5.0,50.0,50.0,289.0,58.0,199.0,66.0,133.0,35.0,0.0,0.0,190.0,61.0,129.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.18,50.0,50.0,50.0,50.0,0.0
4,package/MDAnalysis/coordinates/CRD.py,b2d70dd,3.0,3.0,3.0,2.0,19.0,1.0,12.0,7.0,2.0,7.0,7.0,207.0,32.0,109.0,15.0,94.0,79.0,0.0,0.0,93.0,14.0,79.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,4.0,0.72,23.0,23.0,23.0,14.0,1.0
5,package/MDAnalysis/coordinates/INPCRD.py,b2d70dd,3.0,3.0,3.0,2.0,19.0,1.0,12.0,7.0,2.0,7.0,7.0,207.0,32.0,109.0,15.0,94.0,79.0,0.0,0.0,93.0,14.0,79.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,6.0,4.0,0.72,23.0,23.0,23.0,14.0,1.0
6,package/MDAnalysis/coordinates/DMS.py,b2d70dd,1.0,1.0,1.0,1.0,8.0,0.0,7.0,1.0,2.0,8.0,8.0,123.0,17.0,75.0,22.0,53.0,35.0,0.0,0.0,71.0,20.0,51.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,1.0,2.0,0.47,12.0,12.0,12.0,8.0,1.0
7,package/MDAnalysis/coordinates/GRO.py,b2d70dd,2.0,2.0,2.0,1.0,22.0,2.0,12.0,9.0,3.0,8.0,8.0,264.0,42.0,131.0,22.0,109.0,113.0,0.0,0.0,98.0,20.0,78.0,0.0,0.0,0.0,0.0,9.0,9.0,9.0,1.0,4.0,0.86,23.0,23.0,23.0,8.0,1.0
8,package/MDAnalysis/coordinates/LAMMPS.py,b2d70dd,3.0,3.0,3.0,2.0,8.0,0.0,8.0,1.0,4.0,4.0,4.0,150.0,28.0,47.0,13.0,34.0,79.0,0.0,0.0,47.0,13.0,34.0,0.0,0.0,0.0,0.0,4.0,4.0,4.0,4.0,3.0,1.68,12.0,12.0,12.0,10.0,1.0
9,package/MDAnalysis/coordinates/PDBQT.py,b2d70dd,2.0,2.0,2.0,1.0,13.0,1.0,9.0,5.0,2.0,14.0,14.0,382.0,51.0,148.0,26.0,122.0,202.0,0.0,0.0,128.0,24.0,104.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,3.0,3.0,1.36,29.0,29.0,29.0,18.0,1.0
