,File,Hash,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountPath,CountPathLog,CountStmt,CountStmtDecl,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,fastread_buggy
0,package/MDAnalysis/coordinates/TRJ.py,2b16b6a,3.0,3.0,3.0,1.0,23.0,2.0,15.0,6.0,4.0,24.0,23.0,944.0,178.0,401.0,50.0,351.0,392.0,4.0,1.0,334.0,39.0,295.0,3.0,3.0,3.0,1.0,11.0,11.0,11.0,6.0,3.0,0.98,82.0,82.0,82.0,38.0,1.0
1,package/MDAnalysis/lib/netcdf.py,2b16b6a,2.0,2.0,2.0,1.0,16.0,1.0,10.0,4.0,2.0,46.0,45.0,1088.0,180.0,522.0,63.0,459.0,403.0,1.0,0.0,459.0,59.0,400.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,5.0,4.0,0.77,128.0,128.0,128.0,53.0,1.0
2,testsuite/MDAnalysisTests/coordinates/test_netcdf.py,2b16b6a,2.0,2.0,2.0,1.0,16.0,1.0,10.0,4.0,2.0,46.0,45.0,1088.0,180.0,522.0,63.0,459.0,403.0,1.0,0.0,459.0,59.0,400.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,5.0,4.0,0.77,128.0,128.0,128.0,53.0,1.0
3,testsuite/MDAnalysisTests/lib/test_scipy_io_netcdf.py,2b16b6a,2.0,2.0,2.0,1.0,16.0,1.0,10.0,4.0,2.0,46.0,45.0,1088.0,180.0,522.0,63.0,459.0,403.0,1.0,0.0,459.0,59.0,400.0,1.0,1.0,1.0,1.0,12.0,12.0,12.0,5.0,4.0,0.77,128.0,128.0,128.0,53.0,1.0
4,package/setup.py,2b16b6a,4.0,4.0,4.0,2.0,36.0,1.0,22.0,4.0,2.0,11.0,10.0,539.0,64.0,359.0,32.0,327.0,122.0,288.0,2.0,216.0,30.0,186.0,12.0,12.0,12.0,1.0,12.0,12.0,12.0,6.0,4.0,0.34,54.0,54.0,54.0,24.0,1.0
5,testsuite/setup.py,2b16b6a,4.0,4.0,4.0,2.0,36.0,1.0,22.0,4.0,2.0,11.0,10.0,539.0,64.0,359.0,32.0,327.0,122.0,288.0,2.0,216.0,30.0,186.0,12.0,12.0,12.0,1.0,12.0,12.0,12.0,6.0,4.0,0.34,54.0,54.0,54.0,24.0,1.0
6,testsuite/MDAnalysisTests/coordinates/test_netcdf.py,2b16b6a,1.0,1.0,1.0,1.0,8.0,0.0,7.0,0.0,9.0,40.0,39.0,472.0,78.0,338.0,75.0,263.0,57.0,2.0,0.0,255.0,70.0,185.0,2.0,2.0,2.0,1.0,7.0,7.0,7.0,5.0,3.0,0.17,60.0,60.0,60.0,44.0,1.0
7,testsuite/MDAnalysisTests/datafiles.py,2b16b6a,1.0,1.0,1.0,1.0,304.0,0.0,0.0,0.0,0.0,1.0,0.0,397.0,53.0,306.0,2.0,304.0,99.0,1.0,0.0,188.0,2.0,186.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.32,1.0,1.0,1.0,1.0,1.0
8,testsuite/MDAnalysisTests/lib/test_scipy_io_netcdf.py,2b16b6a,1.0,1.0,1.0,1.0,15.0,1.0,11.0,2.0,0.0,16.0,15.0,328.0,60.0,192.0,29.0,163.0,80.0,1.0,0.0,191.0,28.0,163.0,1.0,1.0,1.0,1.0,4.0,4.0,4.0,1.0,3.0,0.42,20.0,20.0,20.0,16.0,1.0
9,package/setup.py,2b16b6a,5.0,5.0,5.0,3.0,81.0,6.0,34.0,27.0,0.0,2.0,1.0,225.0,26.0,135.0,6.0,129.0,66.0,6.0,1.0,47.0,6.0,41.0,4.0,4.0,4.0,1.0,7.0,7.0,7.0,6.0,3.0,0.49,11.0,11.0,11.0,7.0,1.0
10,testsuite/setup.py,2b16b6a,5.0,5.0,5.0,3.0,81.0,6.0,34.0,27.0,0.0,2.0,1.0,225.0,26.0,135.0,6.0,129.0,66.0,6.0,1.0,47.0,6.0,41.0,4.0,4.0,4.0,1.0,7.0,7.0,7.0,6.0,3.0,0.49,11.0,11.0,11.0,7.0,1.0
11,package/MDAnalysis/lib/netcdf.py,2b16b6a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
12,testsuite/MDAnalysisTests/coordinates/test_netcdf.py,2b16b6a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
13,testsuite/MDAnalysisTests/lib/test_scipy_io_netcdf.py,2b16b6a,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,48.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
14,testsuite/MDAnalysisTests/analysis/test_align.py,b97f2ab,1.0,1.0,1.0,1.0,9.0,0.0,8.0,0.0,3.0,30.0,29.0,350.0,55.0,253.0,55.0,196.0,43.0,1.0,0.0,196.0,44.0,152.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.17,30.0,30.0,30.0,30.0,1.0
15,testsuite/MDAnalysisTests/analysis/test_contacts.py,3b4841b,1.0,1.0,1.0,1.0,10.0,1.0,8.0,0.0,1.0,24.0,24.0,347.0,67.0,237.0,52.0,185.0,43.0,0.0,0.0,142.0,34.0,108.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.18,25.0,25.0,25.0,24.0,1.0
16,testsuite/MDAnalysisTests/analysis/test_contacts.py,60cb030,1.0,1.0,1.0,1.0,10.0,1.0,8.0,0.0,1.0,24.0,24.0,349.0,68.0,238.0,53.0,185.0,43.0,0.0,0.0,143.0,35.0,108.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.18,25.0,25.0,25.0,24.0,0.0
17,testsuite/MDAnalysisTests/analysis/test_density.py,60cb030,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,4.0,24.0,24.0,222.0,45.0,147.0,48.0,99.0,31.0,0.0,0.0,107.0,45.0,62.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.21,27.0,27.0,27.0,24.0,1.0
18,testsuite/MDAnalysisTests/analysis/test_density.py,c773c0f,1.0,1.0,1.0,1.0,5.0,0.0,4.0,0.0,4.0,24.0,24.0,222.0,45.0,147.0,48.0,99.0,31.0,0.0,0.0,107.0,45.0,62.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,2.0,0.21,27.0,27.0,27.0,24.0,0.0
19,testsuite/MDAnalysisTests/analysis/test_hydrogenbondautocorrel.py,c9f2038,1.0,1.0,1.0,1.0,12.0,0.0,12.0,0.0,1.0,19.0,19.0,292.0,37.0,230.0,32.0,198.0,26.0,0.0,0.0,97.0,31.0,66.0,0.0,0.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,0.11,19.0,19.0,19.0,19.0,0.0
20,testsuite/MDAnalysisTests/analysis/test_pca.py,f3946f3,1.0,1.0,1.0,1.0,5.0,0.0,5.0,0.0,1.0,9.0,9.0,98.0,15.0,60.0,23.0,37.0,23.0,0.0,0.0,50.0,18.0,32.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.38,10.0,10.0,10.0,9.0,0.0
21,testsuite/MDAnalysisTests/analysis/test_psa.py,80c4cba,1.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,7.0,29.0,29.0,319.0,56.0,190.0,49.0,141.0,74.0,0.0,0.0,167.0,45.0,122.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.39,30.0,30.0,30.0,29.0,1.0
22,testsuite/MDAnalysisTests/analysis/test_psa.py,0b5aced,1.0,1.0,1.0,1.0,7.0,0.0,5.0,1.0,7.0,29.0,29.0,327.0,60.0,194.0,49.0,145.0,74.0,0.0,0.0,171.0,45.0,126.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.38,30.0,30.0,30.0,29.0,0.0
23,testsuite/MDAnalysisTests/analysis/test_rdf.py,e025e63,1.0,1.0,1.0,1.0,6.0,0.0,4.0,1.0,1.0,10.0,10.0,107.0,19.0,53.0,18.0,35.0,35.0,0.0,0.0,52.0,18.0,34.0,0.0,0.0,0.0,0.0,2.0,2.0,2.0,1.0,1.0,0.66,11.0,11.0,11.0,10.0,0.0
24,testsuite/MDAnalysisTests/analysis/test_rms.py,1f0d2f9,1.0,1.0,1.0,1.0,6.0,0.0,6.0,0.0,3.0,33.0,32.0,311.0,50.0,233.0,60.0,172.0,28.0,1.0,0.0,179.0,48.0,131.0,1.0,1.0,1.0,1.0,2.0,2.0,2.0,1.0,2.0,0.12,34.0,34.0,34.0,33.0,0.0
25,package/MDAnalysis/coordinates/DCD.py,ebc342e,2.0,2.0,2.0,1.0,16.0,1.0,8.0,8.0,2.0,18.0,17.0,378.0,33.0,160.0,31.0,129.0,195.0,1.0,0.0,152.0,30.0,122.0,1.0,1.0,1.0,1.0,7.0,7.0,7.0,6.0,2.0,1.22,41.0,41.0,41.0,32.0,0.0
26,package/MDAnalysis/coordinates/TRJ.py,ebc342e,2.0,2.0,2.0,1.0,13.0,1.0,8.0,4.0,2.0,15.0,15.0,344.0,66.0,143.0,24.0,119.0,146.0,0.0,0.0,138.0,21.0,117.0,0.0,0.0,0.0,0.0,7.0,7.0,7.0,3.0,2.0,1.02,34.0,34.0,34.0,23.0,0.0
27,package/setup.py,ebc342e,7.0,7.0,7.0,1.0,122.0,0.0,0.0,0.0,0.0,1.0,0.0,193.0,23.0,130.0,7.0,122.0,46.0,48.0,2.0,41.0,7.0,34.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0,2.0,0.35,7.0,7.0,7.0,1.0,0.0
28,testsuite/setup.py,ebc342e,7.0,7.0,7.0,1.0,122.0,0.0,0.0,0.0,0.0,1.0,0.0,193.0,23.0,130.0,7.0,122.0,46.0,48.0,2.0,41.0,7.0,34.0,7.0,7.0,7.0,1.0,7.0,7.0,7.0,1.0,2.0,0.35,7.0,7.0,7.0,1.0,0.0
29,testsuite/MDAnalysisTests/analysis/test_base.py,ebc342e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
30,testsuite/MDAnalysisTests/coordinates/base.py,ebc342e,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,0.0
31,testsuite/MDAnalysisTests/datafiles.py,ebc342e,1.0,1.0,1.0,1.0,34.0,0.0,0.0,0.0,0.0,1.0,0.0,74.0,13.0,35.0,1.0,34.0,34.0,1.0,0.0,24.0,1.0,23.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.97,1.0,1.0,1.0,1.0,0.0
32,package/setup.py,ebc342e,3.0,3.0,3.0,1.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,19.0,49.0,4.0,44.0,33.0,4.0,1.0,14.0,4.0,10.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.67,3.0,3.0,3.0,1.0,0.0
33,testsuite/setup.py,ebc342e,3.0,3.0,3.0,1.0,44.0,0.0,0.0,0.0,0.0,1.0,0.0,100.0,19.0,49.0,4.0,44.0,33.0,4.0,1.0,14.0,4.0,10.0,3.0,3.0,3.0,1.0,3.0,3.0,3.0,1.0,1.0,0.67,3.0,3.0,3.0,1.0,0.0
34,testsuite/MDAnalysisTests/analysis/test_nuclinfo.py,ebc342e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
35,testsuite/MDAnalysisTests/analysis/test_nuclinfo.py,ebc342e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
36,testsuite/MDAnalysisTests/analysis/test_nuclinfo.py,ebc342e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
37,testsuite/MDAnalysisTests/analysis/test_nuclinfo.py,ebc342e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
38,testsuite/MDAnalysisTests/analysis/test_nuclinfo.py,ebc342e,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
