,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
0,src/systems/system_projection.C,f434f93,7.0,42.0,7.0,375.0,1771.0,390.0,6.0,6.0,6.0,2.0,56.0,6.0,39.0,6.0,6.0,,38.0,2519.0,336.0,1551.0,577.0,991.0,342.0,278.0,28.0,,,741.0,958.0,302.0,0.0,656.0,,,,,103.0,103.0,109.0,41.0,9.0,0.22,223.0,223.0,241.0,111.0,1.0
1,src/systems/system_projection.C,93683af,7.0,42.0,7.0,375.0,1771.0,391.0,6.0,6.0,6.0,2.0,56.0,6.0,39.0,6.0,6.0,,38.0,2520.0,336.0,1551.0,577.0,991.0,343.0,278.0,28.0,,,741.0,958.0,302.0,0.0,656.0,,,,,103.0,103.0,109.0,41.0,9.0,0.22,223.0,223.0,241.0,111.0,0.0
2,contrib/fparser/fparser_ad.cc,e0e46c9,2.0,13.0,2.0,138.0,835.0,119.0,3.0,2.0,4.0,2.0,17.0,2.0,13.0,2.0,4.0,,30.0,1088.0,99.0,428.0,136.0,257.0,85.0,444.0,55.0,,,232.0,325.0,95.0,0.0,230.0,,,,,50.0,19.0,51.0,33.0,4.0,0.20,101.0,70.0,109.0,68.0,1.0
3,contrib/fparser/fparser_ad.cc,a5407a2,2.0,13.0,2.0,138.0,835.0,119.0,3.0,2.0,4.0,2.0,17.0,2.0,13.0,2.0,4.0,,30.0,1088.0,99.0,428.0,136.0,257.0,85.0,444.0,55.0,,,232.0,325.0,95.0,0.0,230.0,,,,,50.0,19.0,51.0,33.0,4.0,0.20,101.0,70.0,109.0,68.0,0.0
4,tests/parallel/packed_range_test.C,9b000bb,1.0,7.0,0.0,36.0,88.0,7.0,2.0,2.0,2.0,1.0,8.0,1.0,7.0,0.0,2.0,,8.0,129.0,36.0,80.0,34.0,28.0,7.0,0.0,8.0,,,35.0,50.0,25.0,0.0,25.0,,,,,2.0,2.0,2.0,1.0,1.0,0.09,12.0,12.0,12.0,8.0,1.0
5,tests/parallel/packed_range_test.C,e712ee3,1.0,7.0,0.0,36.0,88.0,7.0,2.0,2.0,2.0,1.0,8.0,1.0,7.0,0.0,2.0,,8.0,129.0,36.0,80.0,34.0,28.0,7.0,0.0,8.0,,,35.0,50.0,25.0,0.0,25.0,,,,,2.0,2.0,2.0,1.0,1.0,0.09,12.0,12.0,12.0,8.0,0.0
6,src/mesh/mesh_generation.C,220cf25,40.0,149.0,22.0,467.0,1577.0,324.0,33.0,21.0,35.0,1.0,207.0,40.0,149.0,22.0,0.0,,8.0,2322.0,359.0,1203.0,179.0,907.0,207.0,556.0,33.0,,,642.0,923.0,125.0,5.0,793.0,,,,,222.0,143.0,235.0,1.0,7.0,0.17,267.0,167.0,280.0,8.0,1.0
7,src/mesh/mesh_generation.C,7fecf64,40.0,149.0,22.0,467.0,1577.0,324.0,33.0,21.0,35.0,1.0,207.0,40.0,149.0,22.0,0.0,,8.0,2322.0,359.0,1203.0,179.0,907.0,207.0,556.0,33.0,,,642.0,923.0,125.0,5.0,793.0,,,,,222.0,143.0,235.0,1.0,7.0,0.17,267.0,167.0,280.0,8.0,0.0
8,src/mesh/boundary_info.C,3416ef8,2.0,9.0,3.0,20.0,55.0,14.0,1.0,1.0,1.0,1.0,13.0,2.0,9.0,3.0,1.0,,4.0,89.0,20.0,47.0,14.0,21.0,14.0,0.0,8.0,,,27.0,32.0,15.0,0.0,17.0,,,,,1.0,1.0,1.0,1.0,0.0,0.30,4.0,4.0,4.0,4.0,1.0
9,tests/mesh/boundary_info.C,3416ef8,2.0,9.0,3.0,20.0,55.0,14.0,1.0,1.0,1.0,1.0,13.0,2.0,9.0,3.0,1.0,,4.0,89.0,20.0,47.0,14.0,21.0,14.0,0.0,8.0,,,27.0,32.0,15.0,0.0,17.0,,,,,1.0,1.0,1.0,1.0,0.0,0.30,4.0,4.0,4.0,4.0,1.0
