,File,Hash,AltAvgLineBlank,AltAvgLineCode,AltAvgLineComment,AltCountLineBlank,AltCountLineCode,AltCountLineComment,AvgCyclomatic,AvgCyclomaticModified,AvgCyclomaticStrict,AvgEssential,AvgLine,AvgLineBlank,AvgLineCode,AvgLineComment,CountDeclClass,CountDeclExecutableUnit,CountDeclFunction,CountLine,CountLineBlank,CountLineCode,CountLineCodeDecl,CountLineCodeExe,CountLineComment,CountLineInactive,CountLinePreprocessor,CountPath,CountPathLog,CountSemicolon,CountStmt,CountStmtDecl,CountStmtEmpty,CountStmtExe,Cyclomatic,CyclomaticModified,CyclomaticStrict,Essential,MaxCyclomatic,MaxCyclomaticModified,MaxCyclomaticStrict,MaxEssential,MaxNesting,RatioCommentToCode,SumCyclomatic,SumCyclomaticModified,SumCyclomaticStrict,SumEssential,human_buggy
0,libmesh/src/physics/fem_physics.C,79e5892,20.0,79.0,8.0,52.0,174.0,30.0,5.0,5.0,5.0,2.0,104.0,6.0,24.0,2.0,0.0,,2.0,251.0,25.0,51.0,21.0,30.0,18.0,145.0,16.0,,,29.0,39.0,15.0,0.0,24.0,,,,,7.0,7.0,8.0,3.0,5.0,0.35,9.0,9.0,10.0,4.0,1.0
1,libmesh/src/physics/fem_physics.C,9b98671,20.0,79.0,8.0,52.0,174.0,30.0,5.0,5.0,5.0,2.0,104.0,6.0,24.0,2.0,0.0,,2.0,251.0,25.0,51.0,21.0,30.0,18.0,145.0,16.0,,,29.0,39.0,15.0,0.0,24.0,,,,,7.0,7.0,8.0,3.0,5.0,0.35,9.0,9.0,10.0,4.0,0.0
2,libmesh/src/solvers/memory_solution_history.C,5d74ab4,7.0,15.0,8.0,19.0,34.0,19.0,3.0,3.0,3.0,1.0,30.0,7.0,15.0,8.0,0.0,,2.0,72.0,19.0,33.0,11.0,16.0,19.0,0.0,1.0,,,19.0,25.0,9.0,0.0,16.0,,,,,3.0,3.0,3.0,1.0,2.0,0.58,5.0,5.0,5.0,2.0,1.0
3,libmesh/src/solvers/memory_solution_history.C,44ea143,6.0,16.0,6.0,23.0,52.0,23.0,3.0,3.0,3.0,1.0,28.0,6.0,16.0,6.0,0.0,,3.0,98.0,23.0,51.0,14.0,27.0,23.0,0.0,1.0,,,31.0,41.0,12.0,3.0,26.0,,,,,3.0,3.0,3.0,1.0,2.0,0.45,9.0,9.0,9.0,3.0,0.0
4,libmesh/src/systems/fem_context.C,44ea143,4.0,15.0,4.0,393.0,845.0,228.0,3.0,3.0,3.0,1.0,23.0,4.0,15.0,4.0,0.0,,41.0,1458.0,329.0,663.0,179.0,426.0,186.0,252.0,36.0,,,424.0,586.0,220.0,0.0,366.0,,,,,14.0,14.0,14.0,1.0,4.0,0.28,104.0,104.0,116.0,41.0,1.0
5,libmesh/src/systems/diff_context.C,44ea143,2.0,15.0,1.0,26.0,66.0,18.0,4.0,4.0,4.0,1.0,18.0,2.0,15.0,1.0,0.0,,4.0,109.0,26.0,64.0,24.0,36.0,18.0,0.0,2.0,,,38.0,53.0,14.0,0.0,39.0,,,,,7.0,7.0,7.0,1.0,2.0,0.28,14.0,14.0,14.0,4.0,1.0
6,libmesh/src/systems/fem_context.C,137ef48,5.0,16.0,4.0,457.0,1009.0,270.0,3.0,3.0,3.0,1.0,24.0,5.0,16.0,4.0,0.0,,45.0,1728.0,370.0,779.0,242.0,489.0,212.0,339.0,36.0,,,505.0,698.0,290.0,1.0,407.0,,,,,14.0,14.0,14.0,1.0,4.0,0.27,119.0,119.0,131.0,45.0,0.0
7,libmesh/src/systems/diff_context.C,137ef48,2.0,11.0,1.0,40.0,104.0,25.0,2.0,2.0,2.0,1.0,14.0,2.0,11.0,1.0,0.0,,9.0,168.0,40.0,102.0,32.0,57.0,25.0,0.0,2.0,,,60.0,83.0,22.0,1.0,60.0,,,,,7.0,7.0,7.0,1.0,2.0,0.25,22.0,22.0,22.0,9.0,0.0
8,libmesh/src/base/dof_map_constraints.C,e22f6de,1.0,23.0,2.0,547.0,2218.0,492.0,2.0,2.0,2.0,1.0,25.0,1.0,9.0,0.0,1.0,,2.0,3194.0,31.0,32.0,23.0,3.0,31.0,3059.0,126.0,,,9.0,16.0,11.0,0.0,5.0,,,,,3.0,3.0,3.0,1.0,2.0,0.97,4.0,4.0,4.0,2.0,1.0
9,libmesh/src/base/dof_map_constraints.C,c9fe8c2,1.0,23.0,2.0,547.0,2201.0,486.0,2.0,2.0,2.0,1.0,25.0,1.0,9.0,0.0,1.0,,2.0,3174.0,31.0,32.0,23.0,3.0,31.0,3039.0,122.0,,,9.0,16.0,11.0,0.0,5.0,,,,,3.0,3.0,3.0,1.0,2.0,0.97,4.0,4.0,4.0,2.0,0.0
10,libmesh/src/mesh/parallel_mesh.C,7dcc0c9,4.0,18.0,4.0,292.0,768.0,203.0,3.0,3.0,3.0,1.0,26.0,3.0,16.0,4.0,0.0,,42.0,1257.0,276.0,668.0,162.0,441.0,181.0,108.0,37.0,,,355.0,463.0,116.0,14.0,333.0,,,,,23.0,23.0,23.0,1.0,4.0,0.27,111.0,111.0,128.0,42.0,1.0
11,libmesh/src/partitioning/partitioner.C,7dcc0c9,18.0,52.0,20.0,142.0,325.0,141.0,5.0,5.0,6.0,1.0,89.0,12.0,34.0,15.0,0.0,,6.0,600.0,108.0,207.0,65.0,152.0,109.0,166.0,18.0,,,139.0,172.0,48.0,6.0,118.0,,,,,17.0,17.0,19.0,1.0,3.0,0.53,32.0,32.0,34.0,6.0,1.0
12,libmesh/src/mesh/mesh_communication.C,7dcc0c9,3.0,14.0,4.0,214.0,650.0,384.0,3.0,3.0,3.0,1.0,20.0,3.0,13.0,4.0,0.0,,17.0,1229.0,116.0,245.0,83.0,128.0,169.0,680.0,45.0,,,131.0,184.0,63.0,4.0,117.0,,,,,27.0,27.0,30.0,12.0,5.0,0.69,49.0,49.0,53.0,28.0,1.0
13,libmesh/src/mesh/parallel_mesh.C,4eda33c,4.0,18.0,4.0,292.0,767.0,203.0,3.0,3.0,3.0,1.0,26.0,3.0,16.0,4.0,0.0,,42.0,1256.0,276.0,667.0,162.0,440.0,181.0,108.0,37.0,,,354.0,462.0,116.0,14.0,332.0,,,,,23.0,23.0,23.0,1.0,4.0,0.27,111.0,111.0,128.0,42.0,0.0
14,libmesh/src/partitioning/partitioner.C,4eda33c,18.0,52.0,20.0,143.0,327.0,141.0,5.0,5.0,6.0,1.0,89.0,12.0,34.0,15.0,0.0,,6.0,603.0,108.0,207.0,65.0,152.0,109.0,168.0,19.0,,,139.0,172.0,48.0,6.0,118.0,,,,,17.0,17.0,19.0,1.0,3.0,0.53,32.0,32.0,34.0,6.0,0.0
15,libmesh/src/mesh/mesh_communication.C,4eda33c,3.0,14.0,4.0,212.0,644.0,367.0,3.0,3.0,3.0,1.0,20.0,3.0,13.0,4.0,0.0,,17.0,1205.0,116.0,245.0,83.0,128.0,169.0,656.0,39.0,,,131.0,184.0,63.0,4.0,117.0,,,,,27.0,27.0,30.0,12.0,5.0,0.69,49.0,49.0,53.0,28.0,0.0
16,libmesh/src/numerics/petsc_vector.C,9d0da17,0.0,0.0,0.0,367.0,893.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1414.0,8.0,0.0,0.0,0.0,16.0,1387.0,46.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
17,libmesh/src/numerics/petsc_vector.C,fa631f4,0.0,0.0,0.0,371.0,900.0,158.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,1425.0,8.0,0.0,0.0,0.0,16.0,1398.0,49.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
18,libmesh/src/numerics/petsc_preconditioner.C,fa631f4,0.0,0.0,0.0,63.0,152.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,277.0,5.0,0.0,0.0,0.0,14.0,256.0,18.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,1.0
19,libmesh/src/numerics/petsc_preconditioner.C,ed82596,0.0,0.0,0.0,63.0,155.0,64.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,,0.0,280.0,5.0,0.0,0.0,0.0,14.0,259.0,18.0,,,0.0,0.0,0.0,0.0,0.0,,,,,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.0,0.0
