,Document Title,Abstract,time,label
0,0900a9b1,resolved sonarcloud code smell: collapsible 'if' statements should be merged,1539129083.645507,1
1,1c86e241,resolved sonarcloud code smell: collapsible 'if' statements should be merged,1539129082.637845,1
2,993d174c,Catch parser error of OpenSSHConfig,1539129025.44143,1
3,748f2418,resolved merge conflicts,1539129015.598864,1
4,7cb72a82,merge conflicts resolved,1539129013.950682,1
5,94e5d91e,Merged GridEngine updates into master,1539129009.727851,1
6,706ad302,Merged fixUnitTestsAndTime,1539128998.720896,1
7,184b7318,Improved error detecting in jobs. Automatically delete jobs in error state,1539128995.147459,1
8,dccb776d,Corrected exceptions in various classes.,1539128957.022085,1
9,6cc06c1e,Merge pull request #205 from NLeSC/feature/gftp-3rdparty-copy,1539128932.479067,1
10,58dda4e3,Merge pull request #174 from NLeSC/feature/gridengine-unit-tests,1539128931.34119,1
11,26de992e,Merge pull request #376 from NLeSC/feature/webdav-continued,1539128926.1123462,1
12,a29b00f1,Merge pull request #212 from NLeSC/feature/jglobus-proxy-init,1539128925.072283,1
13,b6cdbccd,Merge pull request #196 from NLeSC/feature/daemon-threads,1539128924.136829,1
14,6f830336,Merge pull request #194 from NLeSC/feature/gridengine-resource-option,1539128923.040575,1
15,35bfd380,Merge pull request #204 from NLeSC/feature/gftp-patch,1539128922.097302,1
16,55f8d73a,Merge pull request #37 from NLeSC/feature/ge-job-exitcode,1539128921.167916,1
17,58a84b9b,Merge pull request #117 from NLeSC/feature/job-canceled-exception,1539128920.095327,1
18,654fb402,Merge pull request #32 from NLeSC/feature/sge-adaptor,1539128918.972836,1
19,b7fb6eb3,Merge pull request #69 from NLeSC/feature/java-job-description,1539128917.922933,1
20,737ddd96,Merge pull request #137 from NLeSC/feature/license-check,1539128917.504003,1
21,134f3009,Merge pull request #153 from NLeSC/feature/one-test-config,1539128912.7504551,1
22,37ed9b32,Merge pull request #152 from NLeSC/feature/one-test-config,1539128911.759191,1
23,6bb63f83,Merge pull request #115 from NLeSC/feature/gridengine-advanced,1539128910.538858,1
24,28806ab2,Merge pull request #257 from NLeSC/feature/webdav,1539128909.237451,1
25,4b6b34b3,Merge pull request #35 from NLeSC/feature/ssh-adaptor-3,1539128904.045593,1
26,de23ca6d,Merge pull request #209 from NLeSC/feature/gftp-3rdparty-copy,1539128902.6860142,1
27,ab5eb25c,Merge pull request #24 from NLeSC/feature/ssh-adaptor-3,1539128896.108325,1
28,76204c49,Merge pull request #25 from NLeSC/feature/ssh-adaptor-3,1539128895.306215,1
29,f936b513,Merge pull request #29 from NLeSC/feature/ssh-adaptor-3,1539128894.7294211,1
30,6d6ba2d9,Merge pull request #31 from NLeSC/feature/ssh-adaptor-3,1539128894.078858,1
31,7897e99d,Merge pull request #14 from NLeSC/feature/ssh-adaptor-3,1539128893.31231,1
32,3fffa715,Merge pull request #19 from NLeSC/feature/ssh-adaptor-3,1539128891.3188071,1
33,2c5fb6e9,Merge pull request #158 from NLeSC/feature/scripting-cleanup,1539128890.319968,1
34,3d45f6ab,Merge pull request #173 from NLeSC/feature/scripting-tests,1539128889.3610039,1
35,8bf0155e,Merge pull request #232 from NLeSC/feature/torque,1539128888.074952,1
36,90b02923,Merge pull request #56 from NLeSC/feature/root_getparent_null,1539128887.059476,1
37,8747f6f1,Merge pull request #231 from NLeSC/feature/sshconfig,1539128881.375173,1
38,58dda71f,Merge pull request #58 from NLeSC/feature/test_does_coverage,1539128880.688578,1
39,4caa7eb9,Merge pull request #59 from NLeSC/feature/localjob_nostdin,1539128880.319402,1
40,81958de6,Merge pull request #34 from NLeSC/feature/recursiveCopyAndDelete,1539128879.8715029,1
41,30343b28,Merge pull request #224 from NLeSC/feature/ftpadaptor,1539128879.503984,1
42,35b0d8c0,Merge pull request #57 from NLeSC/feature/sandbox_copyoption,1539128879.0100222,1
43,7b0954ea,Merge pull request #16 from NLeSC/feature/test_sandbox_submit_status,1539128878.6554642,1
44,e36c24fa,Merge pull request #175 from NLeSC/feature/gridengine-unit-tests,1539128878.302494,1
45,d324cc7e,Merge pull request #126 from NLeSC/feature/gridengine-complete-jobdescription,1539128877.951442,1
46,12bf60ce,Merge pull request #135 from NLeSC/feature/gridengine-parallel-jobs,1539128877.615364,1
47,355c4771,Merge pull request #30 from NLeSC/feature/generic_filetest,1539128866.924635,1
48,c76cc802,Merge pull request #94 from NLeSC/feature/sandbox_equals,1539128866.158273,1
49,50ce47dc,Merge pull request #12 from NLeSC/feature/rename_test_package,1539128865.40873,1
50,52b09451,Merge pull request #99 from NLeSC/feature/tostring_tests,1539128864.3678892,1
51,2137d201,Merge pull request #6 from NLeSC/feature/octopus-exception,1539128863.8233972,1
52,15406a4e,Merge pull request #201 from NLeSC/feature/slurm-2.6,1539128863.407374,1
53,320c12ff,Merge pull request #15 from NLeSC/feature/ssh-adaptor-3,1539128862.912941,1
54,d8bb4450,Merge pull request #21 from NLeSC/feature/sge-adaptor,1539128862.4190302,1
55,537ecfd9,Merge pull request #202 from NLeSC/feature/gftp,1539128861.9826472,1
56,94cd512a,Merge pull request #2 from NLeSC/feature/unnest_adaptors_1plusM_buildxml,1539128861.521901,1
57,6ecc510c,Merge pull request #1 from NLeSC/feature/jacoco,1539128856.9773881,1
58,b357dcd1,Merge pull request #154 from NLeSC/feature/scripting-cleanup,1539128855.5689619,1
59,afb3279a,Merge pull request #18 from NLeSC/feature/testRelativePath,1539128854.688503,1
60,d8426249,Merge pull request #23 from NLeSC/feature/testOctopusProperties,1539128853.680448,1
61,dffc2bcc,Merge pull request #130 from NLeSC/feature/issue129,1539128852.863219,1
62,d6730867,Merge pull request #27 from NLeSC/feature/SandboxedLocalJobIT,1539128851.8872151,1
63,af6bef5b,Merge pull request #64 from NLeSC/feature/test_left_dir_behind,1539128851.0668778,1
