hash,time,message,keyword_buggy,human_buggy,fastread_buggy
abf05ee,2016-09-16 10:31:52,BUG: openfile is called multiple times  second call stopped code with 'at keyword requires use of append yes',0,,0.0
ca558f6,2016-09-16 13:18:17,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14937 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
e4bd637,2016-09-16 13:19:05,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14911 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
60dfdbc,2016-09-16 13:19:23,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14912 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
d17421e,2016-09-16 13:19:39,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14913 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
6fd60f5,2016-09-16 16:20:06,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15230 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
7d77aea,2016-09-16 16:24:05,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15218 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
5336ec0,2016-09-16 16:26:52,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15264 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
ed53235,2016-09-16 16:29:55,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15263 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
8db7ef4,2016-09-16 18:46:43,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14914 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
719d7c6,2016-09-16 18:52:59,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14966 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
484122b,2016-09-16 19:21:34,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15262 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
aa9fe38,2016-09-17 09:50:49,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14915 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
900c839,2016-09-18 00:06:34,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15169 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
faa0b40,2016-09-19 23:19:14,Adding Kokkos error check,0,,0.0
5d89493,2016-09-20 08:49:38,Updating kokkos lib,0,,0.0
7dc8746,2016-09-20 08:51:42,Updating kokkos lib,0,,0.0
849ff25,2016-09-20 08:57:04,Adding signal handler to Kokkos package,0,,0.0
7bb880f,2016-09-20 09:05:39,Reverting back to old kokkos view,0,,0.0
b9b044e,2016-09-20 10:44:12,correct logic bug in bufix for fix tmd,0,,1.0
5c37fcc,2016-09-20 12:10:58,fixed bug in triclinic case,0,,1.0
5583030,2016-09-20 14:52:43,Collapsing kokkos half and half/thread neighbor lists,0,,0.0
5583030,2016-09-20 14:52:43,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@15170 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
5583030,2016-09-20 14:52:43,Collapsing kokkos half and half/thread neighbor lists,0,,0.0
