hash,time,message,keyword_buggy,human_buggy,fastread_buggy
ed9e162,2016-02-15 21:18:29,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12453 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
507bde5,2016-02-15 21:19:55,Changed optimized default to 1,0,,0.0
7512821.0,2016-02-15 21:20:17,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12455 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
952671a,2016-02-15 22:27:20,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12456 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
490b26e,2016-02-15 22:27:37,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12458 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
21136ae,2016-02-15 22:27:57,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@11700 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
52ca641,2016-02-15 22:34:20,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12459 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
53b3a4a,2016-02-15 22:35:06,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12460 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
9b32dcb,2016-02-15 22:46:05,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12461 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
ae788f1,2016-02-15 22:47:22,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12462 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
d242d3b,2016-02-15 22:59:20,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12463 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
1abf6d0,2016-02-15 23:15:24,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@12464 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
3311380.0,2016-02-15 23:16:16,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13450 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
4095268.0,2016-02-16 01:06:20,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13379 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
319762c,2016-02-16 01:06:35,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14736 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
abe869a,2016-02-16 01:07:46,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13378 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
f5e8f73,2016-02-16 15:05:17,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14742 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
9d6dbdb,2016-02-16 15:05:34,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14740 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
7b98025,2016-02-16 15:06:24,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14707 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
1a1b81c,2016-02-16 21:52:49,Fixing Kokkos memory bug,0,,1.0
2ad2326,2016-02-16 23:13:28,replace string compare with enums  fix memory leak  formatting cleanup,0,,1.0
e4f7383,2016-02-17 00:18:28,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14738 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
eee65e3,2016-02-17 00:18:50,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14708 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
a437317,2016-02-17 00:19:10,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14709 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
718c87f,2016-02-17 15:40:36,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14710 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
b7e4a33,2016-02-17 15:54:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14711 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
e4ea9c0,2016-02-17 15:56:48,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14712 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
5c78508,2016-02-18 22:31:49,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14713 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
08b53bb,2016-02-18 22:31:59,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14714 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
f705ef5,2016-02-18 22:32:24,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14715 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
00fc71e,2016-02-22 17:10:07,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14716 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
d2d5b0c,2016-02-22 21:57:32,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14718 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
dc0dc5a,2016-02-22 22:13:26,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14720 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
8291f5e,2016-02-22 23:00:43,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14724 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
f406a5e,2016-02-22 23:00:59,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14725 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
577af87,2016-02-22 23:14:55,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14726 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
c200e18,2016-02-22 23:18:57,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14728 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
a7b8569,2016-02-22 23:27:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14729 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
43158000.0,2016-02-22 23:27:56,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14730 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
e0361bb,2016-02-22 23:30:32,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14731 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
4ddd88d,2016-02-22 23:30:51,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14732 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
a4e33d3,2016-02-23 23:22:40,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14768 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
98b34b6,2016-02-23 23:25:07,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14766 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
dbd2599,2016-02-24 15:27:19,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14670 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
b5e95a0,2016-02-24 18:53:37,Fixing warning,0,,1.0
737c083,2016-02-25 23:12:38,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14765 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
2ce3dac,2016-02-25 23:30:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14704 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
37810ba,2016-02-25 23:57:59,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14706 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
4351bad,2016-02-25 23:58:54,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14643 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
2a15772,2016-02-26 15:49:30,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14741 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
19ca625,2016-02-26 15:53:21,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14743 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
b6e19b7,2016-02-26 15:55:15,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14744 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
ea62766,2016-02-26 15:55:30,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14745 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
4f50ad2,2016-02-26 15:56:01,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14746 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
fe00daa,2016-02-26 16:04:09,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14747 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
12d18e2,2016-02-26 16:09:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14748 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
94d8894,2016-02-26 23:39:53,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14749 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
adbca81,2016-02-27 00:43:50,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14750 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
855e8ec,2016-02-29 15:36:36,Christian's kokkos patch that allows concurrent host and device threading,0,,0.0
b2e792d,2016-02-29 22:10:07,fixed bug with pair hybrid/overaly and manybody potentials finding the right skip neighbor method,0,,1.0
bb0e8a1,2016-03-01 00:39:43,Allowing read_restart to use suffix style with avec,0,,0.0
23ab6d4,2016-03-01 16:55:50,Allowing read_restart to use suffix style with pair style  etc,0,,0.0
d1a65e5,2016-03-01 18:22:28,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14755 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
7642bc1,2016-03-01 18:41:30,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14756 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
0bf6575,2016-03-01 20:35:24,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14757 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
ee19043,2016-03-01 20:38:26,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14758 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
d064640,2016-03-01 20:39:34,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14759 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
756480b,2016-03-01 20:39:41,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14760 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
6e2893c,2016-03-01 20:40:08,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14761 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
20beacc,2016-03-01 20:40:25,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14764 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
a3b0234,2016-03-01 20:41:58,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14734 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
45d25c6,2016-03-01 20:42:04,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14767 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
800c546,2016-03-01 20:45:12,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@14735 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
2921500000000.0,2016-03-01 20:45:31,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13414 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
9dec6db,2016-03-01 20:45:46,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13386 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
9d64c50,2016-03-01 20:47:13,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13383 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
1145d82,2016-03-01 20:47:30,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13419 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
c67331a,2016-03-01 22:30:28,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13382 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
dd73c4c,2016-03-01 22:38:04,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13353 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
223defd,2016-03-01 22:49:42,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13354 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
9e22165,2016-03-01 22:52:13,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13355 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
ef273d3,2016-03-01 22:56:00,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13357 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
19d769a,2016-03-01 22:56:43,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13359 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
e97ec23,2016-03-01 22:57:38,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13360 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
9b33b04,2016-03-02 00:28:45,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13361 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
d6a67c2,2016-03-04 17:32:00,Fixing runtime issues in fix_eos_table_rx_kokkos,0,,1.0
0e5c366,2016-03-07 17:29:34,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13364 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
f4ac444,2016-03-07 17:30:46,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13365 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
ee18055,2016-03-07 17:34:03,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13366 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
791f18b,2016-03-08 19:56:06,Corrected minor bug in utility script,0,,1.0
247bf33,2016-03-10 16:04:18,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13368 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
52f20bb,2016-03-10 16:09:11,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13369 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
8412d4a,2016-03-10 16:09:52,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13370 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
b3890e8,2016-03-10 16:10:53,git-svn-id: svn://svn.icms.temple.edu/lammps-ro/trunk@13371 f3b2605a-c512-4ea7-a41b-209d697bcdaa,0,,0.0
